# Range /mm, dE/dx (el) /MeV * cm ** 2 / mg, Ion Energy /MeV / u
3.902161280040254088e+00,7.012063923637132934e-01,1.850024736783210640e-03
3.911897168844524320e+00,7.029473720698601324e-01,1.858164985280551630e-03
3.921675896294480879e+00,7.046926834491393787e-01,1.866341051485775806e-03
3.931497650883398975e+00,7.064423367908412299e-01,1.874553092999502570e-03
3.941362621933936161e+00,7.081963426251698390e-01,1.882801268115802699e-03
3.951270999601787626e+00,7.099547117296520771e-01,1.891085735825256877e-03
3.961222974879346381e+00,7.117174551356661993e-01,1.899406655818015096e-03
3.971218739599384762e+00,7.134845841350943019e-01,1.907764188486873623e-03
3.981258486438755462e+00,7.152561102871057841e-01,1.916158494930372564e-03
3.991342408922104568e+00,7.170320454250688202e-01,1.924589736955895818e-03
4.001470701425600573e+00,7.188124016635926150e-01,1.933058077082792925e-03
4.011643559180680718e+00,7.205971914057041072e-01,1.941563678545510461e-03
4.021861178277816862e+00,7.223864273501604538e-01,1.950106705296739042e-03
4.032123755670292908e+00,7.241801224989006247e-01,1.958687322010572475e-03
4.042431489178001769e+00,7.259782901646348874e-01,1.967305694085684682e-03
4.052784577491259199e+00,7.277809439785800638e-01,1.975961987648514225e-03
4.063183220174632737e+00,7.295880978983373399e-01,1.984656369556470068e-03
4.073627617670790180e+00,7.313997662159181790e-01,1.993389007401146461e-03
4.084117971304362271e+00,7.332159635485694382e-01,2.002160069511552554e-03
4.094654483285823154e+00,7.350367026613483512e-01,2.010969724957358505e-03
4.105237356715387698e+00,7.368619922645670561e-01,2.019818143552153285e-03
4.115866795586927473e+00,7.386918407506888329e-01,2.028705495856719405e-03
4.126543004791900060e+00,7.405262566970775007e-01,2.037631953182316748e-03
4.137266190123307652e+00,7.423652488714400643e-01,2.046597687593992854e-03
4.148036558279648567e+00,7.442088262373732777e-01,2.055602871913888002e-03
4.158854316868915824e+00,7.460569979600287782e-01,2.064647679724578890e-03
4.169719674412590393e+00,7.479097734118830276e-01,2.073732285372414507e-03
4.180632840349667312e+00,7.497671621786271556e-01,2.082856863970883668e-03
4.191594025040684457e+00,7.516291740651703801e-01,2.092021591403986445e-03
4.202603439771785965e+00,7.534958191017595563e-01,2.101226644329625987e-03
4.213661296758788311e+00,7.553671075502259580e-01,2.110472200183014218e-03
4.224767809151273035e+00,7.572430499103448565e-01,2.119758437180089237e-03
4.235923191036699009e+00,7.591236569263275502e-01,2.129085534320955715e-03
